,open,high,low,close,volume
20200624,12360,12750,12310,12630,77302757
20200623,12345,12545,11970,12210,119401529
20200622,12075,12350,12060,12175,70244628
20200619,12480,12500,11915,12285,101170381
20200618,12185,12325,12030,12230,76589759
20200617,12250,12470,11885,12300,128431599
20200616,11625,12315,11520,12315,108269670
20200615,11980,12155,11010,11010,108611045
20200612,11950,12310,11810,12235,120787610
20200611,12985,13225,12500,12720,98193329
20200610,13110,13305,13010,13210,76089189
20200609,13330,13490,12865,13110,96774783
20200608,13610,13630,13035,13125,104294349
20200605,12650,13175,12585,13160,93994027
20200604,13000,13300,12645,12720,123866486
20200603,12050,12850,12050,12680,120807314
20200602,11585,11870,11525,11835,71398141
20200601,11215,11585,11200,11585,70554789
20200529,11055,11285,10940,11160,78824764
20200528,11295,11425,10935,11185,99287996
20200527,11000,11245,10975,11130,76566667
20200526,10765,11110,10740,11110,78303825
20200525,10570,10725,10420,10725,59046348
20200522,10815,10845,10370,10460,83440623
20200521,10865,10900,10775,10810,62085428
20200520,10580,10790,10570,10730,56503649
20200519,10575,10725,10535,10680,83759982
20200518,10115,10210,9960,10165,71733450
20200515,10105,10130,9880,10020,89647332
20200514,10000,10060,9865,9945,87705201
20200513,9710,10175,9695,10175,82152449
20200512,10100,10145,9795,9960,93311711
20200511,10315,10425,10075,10100,73558479
20200508,10215,10385,10215,10260,66911814
20200507,10005,10210,9970,10085,65709449
20200506,10025,10100,9825,10100,92909407
20200504,9885,10025,9740,9770,109536575
20200429,10250,10515,10200,10375,97467704
20200428,10175,10295,9980,10235,104981824
20200427,9800,10200,9765,10115,100714810
20200424,9895,9950,9645,9715,106138677
20200423,9950,10130,9820,10030,127948825
20200422,9400,9895,9305,9855,122360265
20200421,9765,9880,9350,9680,185576837
20200420,10100,10190,9850,9915,79246350
20200417,9915,10320,9910,10145,151077291
20200416,9375,9585,9230,9540,103662353
20200414,9370,9645,9295,9545,111920517
20200413,9435,9465,9195,9200,95006089
20200410,9350,9550,9285,9530,111280201
20200409,9470,9480,9215,9390,147405268
20200408,9290,9545,9120,9120,169280171
20200407,9415,9585,9060,9395,221737182
